|0
63|"<blockquote class=""bb_blockquote with_author""><div class=""bb_quoteauthor"">Originally posted by <b><a href=""#c1489987634013808453"">Nox Eterna</a></b>:</div>Well I kinda disliked Kirumi a bit after her reveal too, but its just mostly because how her character is completely over the top. Nobody is irreplaceable, and those who claim/think they are lose points in my eyes. The closer a character is to a Mary Sue, the worse it gets. </blockquote>"
66|"<blockquote class=""bb_blockquote with_author""><div class=""bb_quoteauthor"">Originally posted by <b><a href=""#c1489987634011296951"">Battler Ushiromiya</a></b>:</div><blockquote class=""bb_blockquote with_author""><div class=""bb_quoteauthor"">Originally posted by <b><a href=""#c1489987634011276143"">WizoDard</a></b>:</div>After reading this entire thread discussion, I am very surprised that a lot of people actually liked Iruma. I would have to say, she was very funny every time she came on screen, but when Ouma started being mean to her I was not happy. He knew that was her vulnerable side and utilized it <span class=""bb_spoiler""><span> mostly in Chapter 4 </span></span> and it was not funny to me...</blockquote>How does what Ouma did make you like Miu less? That makes no sense. </blockquote>"
67|"<blockquote class=""bb_blockquote with_author""><div class=""bb_quoteauthor"">Originally posted by <b><a href=""#c1489987634012300925"">Tharne</a></b>:</div>Top 3 Favorites :<br/>-Gonta : <span class=""bb_spoiler""><span>Tragic culprit, the only death that really moved me.</span></span><br/>-Ryoma : Cool guy.<br/>-K1-B0 : It's a mech.<br/><br/>Top 3 Least Favorites :<br/>-Angie : <span class=""bb_spoiler""><span>Her little cult was starting to annoy me since Himiko got on board. During Chapter 3, I was really starting to lose interest in the game because of this ????ing Atua and hoped that she wasn't going to reach Chapter 4, my prayer was heard.</span></span><br/>-Kirumi : Loved her during Chapter 1...<span class=""bb_spoiler""><span>Then Chapter 2 came and her real face showed up during the Class Trial, what a horrible human being of a character.</span></span><br/>-Kokichi : Really good writing for this character, doesn't change the fact that he was annoying as hell. </blockquote>"
69|"<blockquote class=""bb_blockquote with_author""><div class=""bb_quoteauthor"">Originally posted by <b>WizoDard</b>:</div> you should probably spoiler block more stuff in that post </blockquote>"
70|"<blockquote class=""bb_blockquote with_author""><div class=""bb_quoteauthor"">Originally posted by <b><a href=""#c1489987634018782334"">t_town20</a></b>:</div><blockquote class=""bb_blockquote with_author""><div class=""bb_quoteauthor"">Originally posted by <b>WizoDard</b>:</div> you should probably spoiler block more stuff in that post </blockquote> ah sorry edited my comment to block more; thanks for the heads up. Anyways the only character I actually hated was Angie since there was nothing really redemable about her to me. Kirumi isn't my favorite for the reasons I stated before but <span class=""bb_spoiler""><span> I give her props for actually fighting back to the bitter end. I may have not liked it but can respect she didn't give in like most culprits do in the end </span></span>. </blockquote>"
71|"<blockquote class=""bb_blockquote with_author""><div class=""bb_quoteauthor"">Originally posted by <b><a href=""#c1489987634018782334"">t_town20</a></b>:</div><blockquote class=""bb_blockquote with_author""><div class=""bb_quoteauthor"">Originally posted by <b>WizoDard</b>:</div> you should probably spoiler block more stuff in that post </blockquote> ah sorry edited my comment to block more; thanks for the heads up. Anyways the only character I actually hated was Angie since there was nothing really redemable about her to me. Kirumi isn't my favorite for the reasons I stated before but <span class=""bb_spoiler""><span> I give her props for actually fighting back to the bitter end. I may have not liked it but can respect she didn't give in like most culprits do in the end </span></span>. </blockquote>"
72|"<blockquote class=""bb_blockquote with_author""><div class=""bb_quoteauthor"">Originally posted by <b><a href=""#c1489987634018691925"">t_town20</a></b>:</div>I liked Kirumi less after Case Two as well; specifically <span class=""bb_spoiler""><span>when she tried to manipulate the others to take her place for her in the execution. The way she valued her life over the others rubbed me the wrong way and yes I understand her motive but it doesn't change the fact she was okay with letting the others die over herself. I don't hate her or anything and give her props for doing whatever she could to survive but didn't like how she so quickly gave into the game rather than trying to help her friends. Plus you gotta admit her voting for Shuichi in the end was kinda petty.</span></span><br/><br/>As for my favorites my top five would be Maki (really liked her character arc), Keebo (one of most helpful ones during the trials and I personally loved his facial expressions),  Shuichi (<span class=""bb_spoiler""><span>I know it's up to debate his placement among protags in the series but I found his arc really compelling and think he's one of the best protags of the series</span></span>), Kaito(yeah his positivity could be really irritating from time to time but he really was the Ultimate Bro and <span class=""bb_spoiler""><span>helped keep the group out of despair most the time after Kaedewas gone</span></span>), and Rantaro ( <span class=""bb_spoiler""><span> the way he plays into the plot is really interesting to me and I always had a feeling he was a good guy...his FTE's were great too sucks he had to die first :(  </span></span>. Will admit this was a pretty strong cast and it was hard to narrow my favorites to just 5 :D </blockquote>"
74|"<blockquote class=""bb_blockquote with_author""><div class=""bb_quoteauthor"">Originally posted by <b><a href=""#c1480982338958121496"">CloverChiaki96</a></b>:</div><span class=""bb_spoiler""><span>Kaito was great though, I knew that he was going to die though when I played it, but I liked how he was always postive in the face of certain death.</span></span> </blockquote>"
76|"<blockquote class=""bb_blockquote with_author""><div class=""bb_quoteauthor"">Originally posted by <b><a href=""#c1489987634013710279"">Battler Ushiromiya</a></b>:</div><blockquote class=""bb_blockquote with_author""><div class=""bb_quoteauthor"">Originally posted by <b><a href=""#c1489987634012300925"">Tharne</a></b>:</div>Top 3 Favorites :<br/>-Gonta : <span class=""bb_spoiler""><span>Tragic culprit, the only death that really moved me.</span></span><br/>-Ryoma : Cool guy.<br/>-K1-B0 : It's a mech.<br/><br/>Top 3 Least Favorites :<br/>-Angie : <span class=""bb_spoiler""><span>Her little cult was starting to annoy me since Himiko got on board. During Chapter 3, I was really starting to lose interest in the game because of this ????ing Atua and hoped that she wasn't going to reach Chapter 4, my prayer was heard.</span></span><br/>-Kirumi : Loved her during Chapter 1...<span class=""bb_spoiler""><span>Then Chapter 2 came and her real face showed up during the Class Trial, what a horrible human being of a character.</span></span><br/>-Kokichi : Really good writing for this character, doesn't change the fact that he was annoying as hell. </blockquote>How the hell was <span class=""bb_spoiler""><span>Kirumi a bad person?</span></span> </blockquote>"
77|"<blockquote class=""bb_blockquote with_author""><div class=""bb_quoteauthor"">Originally posted by <b><a href=""#c1480982338958626619"">CloverChiaki96</a></b>:</div><blockquote class=""bb_blockquote with_author""><div class=""bb_quoteauthor"">Originally posted by <b><a href=""#c1489987634013710279"">Battler Ushiromiya</a></b>:</div>How the hell was <span class=""bb_spoiler""><span>Kirumi a bad person?</span></span> </blockquote><br/><span class=""bb_spoiler""><span>Kirumi was good. She always had good intentions.</span></span> </blockquote>"
78|"<blockquote class=""bb_blockquote with_author""><div class=""bb_quoteauthor"">Originally posted by <b><a href=""#c1480982338959939012"">WizoDard</a></b>:</div><blockquote class=""bb_blockquote with_author""><div class=""bb_quoteauthor"">Originally posted by <b><a href=""#c1480982338958626619"">CloverChiaki96</a></b>:</div><br/><span class=""bb_spoiler""><span>Kirumi was good. She always had good intentions.</span></span> </blockquote><span class=""bb_spoiler""><span> Until she saw her motive video. Then she turned bad because she brutally drowned Ryouma, tried so hard to defend herself in the trial, and even after the trial wanted the others to sacrifice their life for her. But Ouma caught what she was trying to do and pointed it out. She even ran away from her execution to escape to her nation in the outside world. In fact, her entire execution was based off of her will to escape, that's why it was the most brutal in the series...She was definitely not a bad person, but willing to go to extreme lengths just to accomplish a goal. </span></span> I love Kirumi and Korekiyo. They're my favorite characters of V3. :D </blockquote>"
79|"<blockquote class=""bb_blockquote with_author""><div class=""bb_quoteauthor"">Originally posted by <b><a href=""#c1480982338959985951"">Battler Ushiromiya</a></b>:</div><blockquote class=""bb_blockquote with_author""><div class=""bb_quoteauthor"">Originally posted by <b><a href=""#c1480982338959939012"">WizoDard</a></b>:</div><span class=""bb_spoiler""><span> Until she saw her motive video. Then she turned bad because she brutally drowned Ryouma, tried so hard to defend herself in the trial, and even after the trial wanted the others to sacrifice their life for her. But Ouma caught what she was trying to do and pointed it out. She even ran away from her execution to escape to her nation in the outside world. In fact, her entire execution was based off of her will to escape, that's why it was the most brutal in the series...She was definitely not a bad person, but willing to go to extreme lengths just to accomplish a goal. </span></span> I love Kirumi and Korekiyo. They're my favorite characters of V3. :D </blockquote><span class=""bb_spoiler""><span>However, that is not evil. She merely chose the needs of the many over the needs of the few. Admittedly, if Fate/Zero has taught me anything, it's that that ideal can be easily corrupted, but that does not change any good intentions. It's the same as why Gonta killed in chapter 4. He killed to protect everyone from the outside world.</span></span> </blockquote>"
80|"<blockquote class=""bb_blockquote with_author""><div class=""bb_quoteauthor"">Originally posted by <b><a href=""#c1480982338960013875"">WizoDard</a></b>:</div><blockquote class=""bb_blockquote with_author""><div class=""bb_quoteauthor"">Originally posted by <b><a href=""#c1480982338959985951"">Battler Ushiromiya</a></b>:</div><span class=""bb_spoiler""><span>However, that is not evil. She merely chose the needs of the many over the needs of the few. Admittedly, if Fate/Zero has taught me anything, it's that that ideal can be easily corrupted, but that does not change any good intentions. It's the same as why Gonta killed in chapter 4. He killed to protect everyone from the outside world.</span></span> </blockquote><span class=""bb_spoiler""><span> That was pretty evil. You can chalk it down as putting 16 people as not as valuable as the entire nation of Japan, but either way, she was willing to watch them all get executed for her own goal. She went out of her way just to frame Himiko during the trial, which inevitably made her get caught in the end. To me, that is not considered being good, that's pretty evil... </span></span> </blockquote>"
81|"<blockquote class=""bb_blockquote with_author""><div class=""bb_quoteauthor"">Originally posted by <b><a href=""#c1480982338960027478"">Dels Kibara</a></b>:</div><blockquote class=""bb_blockquote with_author""><div class=""bb_quoteauthor"">Originally posted by <b><a href=""#c1480982338960013875"">WizoDard</a></b>:</div><span class=""bb_spoiler""><span> That was pretty evil. You can chalk it down as putting 16 people as not as valuable as the entire nation of Japan, but either way, she was willing to watch them all get executed for her own goal. She went out of her way just to frame Himiko during the trial, which inevitably made her get caught in the end. To me, that is not considered being good, that's pretty evil... </span></span> </blockquote><span class=""bb_spoiler""><span>Ever heard of the Train Dilemma? Yeah. Kirumi had that. And she chose to kill the few for the benefit of the majority.</span></span> </blockquote>"
82|"<blockquote class=""bb_blockquote with_author""><div class=""bb_quoteauthor"">Originally posted by <b><a href=""#c1480982338960033682"">WizoDard</a></b>:</div><blockquote class=""bb_blockquote with_author""><div class=""bb_quoteauthor"">Originally posted by <b><a href=""#c1480982338960027478"">Dels Kibara</a></b>:</div><span class=""bb_spoiler""><span>Ever heard of the Train Dilemma? Yeah. Kirumi had that. And she chose to kill the few for the benefit of the majority.</span></span> </blockquote><span class=""bb_spoiler""><span> That is very true, and it defends my point of her acting evil after seeing the motive video too. If you were being good/kind then you wouldn't choose the option that benefits you and not the others. </span></span> </blockquote>"
83|"<blockquote class=""bb_blockquote with_author""><div class=""bb_quoteauthor"">Originally posted by <b><a href=""#c1480982338960038100"">Dels Kibara</a></b>:</div><blockquote class=""bb_blockquote with_author""><div class=""bb_quoteauthor"">Originally posted by <b><a href=""#c1480982338960033682"">WizoDard</a></b>:</div><span class=""bb_spoiler""><span> That is very true, and it defends my point of her acting evil after seeing the motive video too. If you were being good/kind then you wouldn't choose the option that benefits you and not the others. </span></span> </blockquote><span class=""bb_spoiler""><span>But that does not benefit Kirumi. She thinks it's for her nation, her people. She is the de facto leader of Japan. If something bad were to happen to Japan, that's her responsibility.</span></span> </blockquote>"
84|"<blockquote class=""bb_blockquote with_author""><div class=""bb_quoteauthor"">Originally posted by <b><a href=""#c1480982338960013875"">WizoDard</a></b>:</div><blockquote class=""bb_blockquote with_author""><div class=""bb_quoteauthor"">Originally posted by <b><a href=""#c1480982338959985951"">Battler Ushiromiya</a></b>:</div><span class=""bb_spoiler""><span>However, that is not evil. She merely chose the needs of the many over the needs of the few. Admittedly, if Fate/Zero has taught me anything, it's that that ideal can be easily corrupted, but that does not change any good intentions. It's the same as why Gonta killed in chapter 4. He killed to protect everyone from the outside world.</span></span> </blockquote><span class=""bb_spoiler""><span> That was pretty evil. You can chalk it down as putting 16 people as not as valuable as the entire nation of Japan, but either way, she was willing to watch them all get executed for her own goal. She went out of her way just to frame Himiko during the trial, which inevitably made her get caught in the end. To me, that is not considered being good, that's pretty evil... </span></span> </blockquote>"
85|"<blockquote class=""bb_blockquote with_author""><div class=""bb_quoteauthor"">Originally posted by <b><a href=""#c1480982338960077927"">NgzeroNigel</a></b>:</div><blockquote class=""bb_blockquote with_author""><div class=""bb_quoteauthor"">Originally posted by <b><a href=""#c1480982338960038100"">Dels Kibara</a></b>:</div><span class=""bb_spoiler""><span>But that does not benefit Kirumi. She thinks it's for her nation, her people. She is the de facto leader of Japan. If something bad were to happen to Japan, that's her responsibility.</span></span> </blockquote>I'll put my two cents in. <span class=""bb_spoiler""><span>I don't consider Kirumi evil, more that she hold more desire than anyone else. She trying to go back and care for the country that she taken care of for what assume 1-2 years with people she doesn't want dead. But while she did perform murder in her position think of it like this. Every second she waist someone in her country could be dying. Which would be that she failed another task.</span></span> </blockquote>"
87|"<blockquote class=""bb_blockquote with_author""><div class=""bb_quoteauthor"">Originally posted by <b><a href=""#c1480982338961074649"">Kura</a></b>:</div>DR2  : Fuyuhiko Kuzuryu and Gundham Tanaka<br/>DRV3: Ryoma Hoshi and Kaito Momota </blockquote>"
89|"<blockquote class=""bb_blockquote with_author""><div class=""bb_quoteauthor"">Originally posted by <b><a href=""#c1480982338963806679"">CloverChiaki96</a></b>:</div>I could understand Kaito being memoriable, but Ryoma didn't really stick with me. </blockquote>"
91|"<blockquote class=""bb_blockquote with_author""><div class=""bb_quoteauthor"">Originally posted by <b><a href=""#c1480982971158510383"">Capt. Pottypie</a></b>:</div>Kokichi I like because he's basically <span class=""bb_spoiler""><span> Snape </span></span> in the way he goes in the game.<br/><br/>My favourite has to go to Kaito simply because there's nothing there to not like. </blockquote>"
95|"<blockquote class=""bb_blockquote with_author""><div class=""bb_quoteauthor"">Originally posted by <b><a href=""#c1480982971164243223"">Genodice</a></b>:</div>From a most interesting/would like to see an entire game with them as main characters, favorite girl would be Kaeda and favorite boy would be Rantaro.<br/><br/>As far as just my favorites, favorite girl would probably be Kirumi and favorite boy would probably be Keebo </blockquote>"
96|"<blockquote class=""bb_blockquote with_author""><div class=""bb_quoteauthor"">Originally posted by <b><a href=""#c1480982971164307751"">NgzeroNigel</a></b>:</div><blockquote class=""bb_blockquote with_author""><div class=""bb_quoteauthor"">Originally posted by <b><a href=""#c1480982971164243223"">Genodice</a></b>:</div>From a most interesting/would like to see an entire game with them as main characters, favorite girl would be Kaeda and favorite boy would be Rantaro.<br/><br/>As far as just my favorites, favorite girl would probably be Kirumi and favorite boy would probably be Keebo </blockquote>But how do you know if Keebo a boy, isn't he a robot. </blockquote>"
97|"<blockquote class=""bb_blockquote with_author""><div class=""bb_quoteauthor"">Originally posted by <b><a href=""#c1480982971164336136"">Genodice</a></b>:</div><blockquote class=""bb_blockquote with_author""><div class=""bb_quoteauthor"">Originally posted by <b><a href=""#c1480982971164307751"">NgzeroNigel</a></b>:</div>But how do you know if Keebo a boy, isn't he a robot. </blockquote>Oh yeah, totally fair point. I guess I keep just coming back to that assumption because other's often refered to with he/him pronouns with Keebo and they're found on the boys side in the dorm/handbook. Well Keebo is by far my favorite robot, and I guess next to him, Ryoma is my favorite boy(?) To be honest, I liked all the boys in this game, but none of them really intrest me that much other than Rantaro and Keebo is just so good and perfect so obviously I love them. Ryoma's cool though, very interesting and not at all who I thought he would be. </blockquote>"
98|"<blockquote class=""bb_blockquote with_author""><div class=""bb_quoteauthor"">Originally posted by <b><a href=""#c1520386297704734535"">Dikami</a></b>:</div>Without further thinking, Kokichi Ouma.<br/><br/>Although I know why people usually tend to hate this kind of character (much like Nagito), I can't help but liking him by the way I see his manipulative and twisted character. He is probably one of, if not the most complex characters in the game.<br/><br/>Class trial won't be that interesting without this anti-villain.<br/><span class=""bb_spoiler""><span>Probably one of the reasons class trial 6 is my least favorite</span></span> </blockquote>"
100|"<blockquote class=""bb_blockquote with_author""><div class=""bb_quoteauthor"">Originally posted by <b><a href=""#c1480982971171467661"">desienaalessandro23</a></b>:</div>IMO Tsumugi is the best character in the series. </blockquote>"
102|"<blockquote class=""bb_blockquote with_author""><div class=""bb_quoteauthor"">Originally posted by <b><a href=""#c1480982971172512231"">Mr Owl</a></b>:</div>Kokichi, Fyi i also love nagito, I am a strange person. </blockquote>"
105|"<blockquote class=""bb_blockquote with_author""><div class=""bb_quoteauthor"">Originally posted by <b><a href=""#c1480982971173665980"">SeaCatAnna</a></b>:</div>Rantaro, I mean have you looked at him? He is beautiful. <br/><br/>I really loved his FTEs and <span class=""bb_spoiler""><span> Talent Plan Events </span></span>. I would have loved to see <span class=""bb_spoiler""><span> what exactly happened in the last killing game where he survived and how his Ultimate Lab (if there were any) would have lokked like when he was the Ultimate Adventurer. Pity we never saw how he behaves in a class trail. Probably would be the only sane man next to Shuichi, without having a 'trust boner like Kaito' (Nothing against him, I love him actually, right after Kokichi, but I don't agree with his blindly trusting nature and he was being slightly annoying during his speeches sometimes.) </span></span> <br/><br/>Kokichi is a very close second, that sassy little?????? <span class=""bb_spoiler""><span> Can't be favorite 'cause being partly responsible for making Gonta kill is not cool. (I understand why, but I doesn't change the fact that Gonta didn't deserve to be manipulated like that) And he has the <i>best</i>  Ultimate Lab. BAT CAVE XD. Although I don't get how Kokichi can be the Ultimate Supreme leader with an organisation with only 10 members who maily do harmless pranks and petty crimes, but maybe I misunderstoond something, can somebody clarify that for me please? I still don't quite get it.</span></span> </blockquote>"
107|"<blockquote class=""bb_blockquote with_author""><div class=""bb_quoteauthor"">Originally posted by <b><a href=""#c1480982971175211201"">WizoDard</a></b>:</div><span class=""bb_spoiler""><span> I believe the reason Ouma was the Ultimate Supreme Leader is because he was good at leading people and pushing them in certain directions. It doesn't really matter the group of people, 5, 10, 100, 1000, he was still a good, "" leader "". Although it's debatable whether or not he was a dictator... </span></span> </blockquote>"
108|"<blockquote class=""bb_blockquote with_author""><div class=""bb_quoteauthor"">Originally posted by <b><a href=""#c1480982971179709825"">SeaCatAnna</a></b>:</div><blockquote class=""bb_blockquote with_author""><div class=""bb_quoteauthor"">Originally posted by <b><a href=""#c1480982971175211201"">WizoDard</a></b>:</div><span class=""bb_spoiler""><span> I believe the reason Ouma was the Ultimate Supreme Leader is because he was good at leading people and pushing them in certain directions. It doesn't really matter the group of people, 5, 10, 100, 1000, he was still a good, "" leader "". Although it's debatable whether or not he was a dictator... </span></span> </blockquote><br/><span class=""bb_spoiler""><span>It still doesn't make sense. According to the 'backstory' they got scouted as Ultimates. I just don't think that the title is appropriate. Ultimate Prankster or Ultimate Trickster would make more sense. I never understood how leadership skills could be quantified. I mean the only way they could notice him were through his pranks and petty crimes, yes? </span></span><br/><br/>Chapter 6 Spoiler:<br/><br/><span class=""bb_spoiler""><span> Then again everything is made up, it could explain why Kokichi didn't believe the flashback lights were real if even his own background doesn't make any sense. He could have lied, but his motive video did say Ultimate Supreme Leader, right?</span></span><br/><br/>Thank you for your response though. </blockquote>"
110|"<blockquote class=""bb_blockquote with_author""><div class=""bb_quoteauthor"">Originally posted by <b><a href=""#c1480982971181587526"">Tatozel</a></b>:</div>From just the design i must say Rantaro or Kokichi. Since rantaro seems to be a cool guy, chill and stuff. Kokichi remind me of a little too energic brother who can't express himself the way he want because he have too much older brothers and have to be the little crap of the familly to have some attention. Well i'm not really wrong for that i think. But through the game i have two more good character to add. First saihara, i didn't have a catch for his design but he have this ""little"" thing as a playable that i found in Hajime (sorry makoto your a blank plank). Also last favorite is Gonta. Why? Well.. GONTA GENTLEMAN. How you cannot like him, he is such a cutie.<br/><br/>But pleade.. why Angie, why you made her so horribly annoying. </blockquote>"
112|"<blockquote class=""bb_blockquote with_author""><div class=""bb_quoteauthor"">Originally posted by <b><a href=""#c1483235412194852366"">Ginrikuzuma</a></b>:</div>I imagine Kokichi was someone we were clearly meant to hate much like Nagito (???? him; still don't like him)  but in this case I actually loved how misleading he was at times. Always second guessing his statements. <span class=""bb_spoiler""><span> The point how they tried to making him seem like malice incarnate when you clear the Death Road however was just silly and overly heavy handed, didn't do anything for me. </span></span> </blockquote>"
113|"<blockquote class=""bb_blockquote with_author""><div class=""bb_quoteauthor"">Originally posted by <b><a href=""#c1483235412194887258"">Battler Ushiromiya</a></b>:</div><blockquote class=""bb_blockquote with_author""><div class=""bb_quoteauthor"">Originally posted by <b><a href=""#c1483235412194852366"">Ginrikuzuma</a></b>:</div>I imagine Kokichi was someone we were clearly meant to hate much like Nagito (???? him; still don't like him)  but in this case I actually loved how misleading he was at times. Always second guessing his statements. <span class=""bb_spoiler""><span> The point how they tried to making him seem like malice incarnate when you clear the Death Road however was just silly and overly heavy handed, didn't do anything for me. </span></span> </blockquote>I don't think either of them were meant to be hated. Kodaka has written one character with the intention of the fanbase hating them, and that's Monaca. Especially when <span class=""bb_spoiler""><span>Kokichi is an ally of the students in the end</span></span>. </blockquote>"
114|"<blockquote class=""bb_blockquote with_author""><div class=""bb_quoteauthor"">Originally posted by <b><a href=""#c1483235412194911068"">Mr Owl</a></b>:</div><blockquote class=""bb_blockquote with_author""><div class=""bb_quoteauthor"">Originally posted by <b><a href=""#c1483235412194887258"">Battler Ushiromiya</a></b>:</div>I don't think either of them were meant to be hated. Kodaka has written one character with the intention of the fanbase hating them, and that's Monaca. Especially when <span class=""bb_spoiler""><span>Kokichi is an ally of the students in the end</span></span>. </blockquote>Monoca's meant to be hated? Why would he ever do this? </blockquote>"
