|0
38|Kokichi and Korekiyo. I tend to like weird characters.
39|I like all the soundeffects for kokichi and his faces and his lies are pretty fun in the trials
40|Miu because of her awesome lines.https://i.imgur.com/kOa3Zww.jpg
41|definitely Kaito. I honestly thought he'd be another Leon from dr1 (probably the weird spiky hair and goatee) and I'm so glad he wasn't. I love his friendship with Shuichi and Maki, it really feels like you genuinely get to know him and become close to him.
42|Originally posted by Greil9:Not only my favorite of this game, but now better than my previous favorites Fuyuhiko Kuzuryu and Gundham Tanaka: Luminary of the Stars himself, Kaito Momota.The guy just has so much positivity and his never give up attitude does rub off on people around him. Sure his idiocy can be a bit grating at times, but he more than makes up for it by showing just how much of a genuinely good guy and good influence he is. Can't go to specifics without spoilers, but if you played to the end you know what I mean.
43|After finishing the game I gotta say that Kokichi was the best character overall, in my opinion, followed closely by Kaito and Kiyo. Didn't have any characters I hated, but the least liked characters by me are prolly Angie and Tenko, coz their schticks got annoying really fast.
44|Miu, because I don't find her annoying. She's rude/brash, but she means well and it seems as if she's pretty lonely too. And it's hilarious that she's actually so wimpy. It makes her cute. If she didn't have the wimpy side she would have been a lot more annoying, I think.Also, she actually is the one that does the most with her talent out of all the danganronpa games. She made plenty of stuff (plotwise and in FTEs too), did requests, improved Kibo, changed the virtual world, etc.Plus, I like her clothes. A bit weird, but not over-the-top crazy.
45|Originally posted by Sunwave:Miu, because I don't find her annoying. She's rude/brash, but she means well and it seems as if she's pretty lonely too. And it's hilarious that she's actually so wimpy. It makes her cute. If she didn't have the wimpy side she would have been a lot more annoying, I think.Also, she actually is the one that does the most with her talent out of all the danganronpa games. She made plenty of stuff, did requests, improved Kibo, changed the virtual world, etc.
46|makoto neagi
47|Originally posted by  :makoto neagi
48|Miu is a goddamn riot
49|Kokichi has to be my favorite, keeps the game interesting and progresses the story nicely. Gotta love that little evil kid.
50|Its a tie between Shuichi  (relatible, and I like how he develpoed though the game) Kiibo/Keebo (I just love his personality) and kokichi (intresting) for me.
51|Kaede and Shuichi. That might be because i love Detective Story's and DanganRonpa have this pretty amazing talent to deliever this kinda Sherlock and Watson Feel, like Makoto & Krigiri, Hinata & Chiaki, now Kaede and Shuichi^^
52|Miu, she's just so hilarious, while actually being very useful at the same time. It's actually kinda sad that everyone puts her down while continuing to get good use out of her inventions
53|"After reading this entire thread discussion, I am very surprised that a lot of people actually liked Iruma. I would have to say, she was very funny every time she came on screen, but when Ouma started being mean to her I was not happy. He knew that was her vulnerable side and utilized it  mostly in Chapter 4  and it was not funny to me...Otherwise, this is my favorite character list before playing V3:1. Kirumi and Korekiyo2. Himiko 3. Ryouma4. RantarouThis is my favorite character list as of up to Chapter 4,  after witnessing Iruma's death and done a little bit of investigating . ( Chapter 4 spoiler )1. Kirumi and Korekiyo2. Ryouma3. Himiko4. RantarouI have a feeling that Rantarou might move up one, and Himiko will move down one after I finish this game...  The only reason I moved Himiko down was because Ryouma's depression story and the whole backstory of his life just beats out Himiko losing Tenko and Angie, in my opinion, it's just way more interesting and makes me feel sympathy for him. I don't feel as much sympathy for Himiko because she had it coming for ignoring what was infront of her. Although, I am not happy with what happened to both of them...Otherwise, Kirumi and Korekiyo are at the top for their  backstories and purpose in the killing game. Honestly, I could easily put Kirumi at number 1 and Korekiyo at 2, but I feel they both lived up to my expectations, even surpassing them, but Kirumi definitely did better with hers. Either way, I still put them both at number 1. The reason I love Kirumi so much is because she was willing to go so far for her motive. She brutually took advantage of someone who wanted to commit suicide, almost committed a perfect murder, and to make matters even better, did not want to accept her execution so she ran as fast as she could. You have no idea how much that surprised me...AND THEN, her dang execution was satanism for me. My entire body got chills, I practically turned as pale as a ghost as I watched my favorite character get sawed up ona spikey web, climb to the top, and only fall to the bottom because the escape she saw was just a hallucination created by her will to escape. All of those facts just pushes her over the top for me....The reason I love Korekiyo so much is  because of his weirdness, interests, and determination.  He is so weird when you meet him, he wears bandages on his arms, a cover over his mouth, and is creepily interested in the behavior of humans. That's what drew me in at first, but then the 3rd trial happened. As if killing Angie wasn't enough, he's like, "" Well...I've already prepared another death trap, so why not just kill another person? "". So he kills both Angie and Tenko, and then his motives get even weirder. He's another character driven crazy with a mental disorder...This time, someone with schizophrenia. He does incest with his sister, and believes that she has possessed his body. He's also a serial killer who has at least murdered over 80 people, because he states, "" I was so close to reaching my goal of giving her 100 friends. "". I don't know...It just makes me really interested. His execution is one of the longest in the series, if not the longest, and it has a weird ending. Pretty interesting, not one of the best, but it definitely stands out... ."
54|Originally posted by WizoDard:After reading this entire thread discussion, I am very surprised that a lot of people actually liked Iruma. I would have to say, she was very funny every time she came on screen, but when Ouma started being mean to her I was not happy. He knew that was her vulnerable side and utilized it  mostly in Chapter 4  and it was not funny to me...
55|I replied to this thread before but I think my list changed after getting to know the characters more.1. Maki: I like how innocent she can be despite being an assassin. She likes reading manga as well as sweets and I find that really cute!2. Kokichi: I hate the guy for doing what he did to Gonta and Kaito but he's a well written character, obviously intelligent! Despite his malicious behavior in the game, he doesn't like killing anyone and enjoys the police.3. Korekiyo: You can't find a better passionate character than him in this batch. He's also just as intelligent, I personally love aura that he emits. 4. Himiko: She acts like a 10 year old and doesn't seem like a high school student at all but she's so innocent, it's hard NOT to like her. Sure, she can be lazy but that's not anything to be too concerned about and there are others with worse traits. 5. Kaito: Do I have to say? He's positive and would much rather look on the bright side. He's a good friend to Shuichi as well as Maki and he wants to make everyone feel good and considers their feelings and troubles in order to help his friends gain confidence.
56|Originally posted by xlightthefuse:I replied to this thread before but I think my list changed after getting to know the characters more.1. Maki: I like how innocent she can be despite being an assassin. She likes reading manga as well as sweets and I find that really cute!2. Kokichi: I hate the guy for doing what he did to Gonta and Kaito but he's a well written character, obviously intelligent! Despite his malicious behavior in the game, he doesn't like killing anyone and enjoys the police.3. Korekiyo: You can't find a better passionate character than him in this batch. He's also just as intelligent, I personally love aura that he emits. 4. Himiko: She acts like a 10 year old and doesn't seem like a high school student at all but she's so innocent, it's hard NOT to like her. Sure, she can be lazy but that's not anything to be too concerned about and there are others with worse traits. 5. Kaito: Do I have to say? He's positive and would much rather look on the bright side. He's a good friend to Shuichi as well as Maki and he wants to make everyone feel good and considers their feelings and troubles in order to help his friends gain confidence.
57|I'm not too fond of this game's cast except for a few of them, but by far my favorite is Kaito. Everyone here has already said why, biggest bro in the game and the one that made everyone move forward, even with his problem.I wish I were even half as cool and good person as him.
58|Top 3 Favorites :-Gonta : Tragic culprit, the only death that really moved me.-Ryoma : Cool guy.-K1-B0 : It's a mech.Top 3 Least Favorites :-Angie : Her little cult was starting to annoy me since Himiko got on board. During Chapter 3, I was really starting to lose interest in the game because of this ????ing Atua and hoped that she wasn't going to reach Chapter 4, my prayer was heard.-Kirumi : Loved her during Chapter 1...Then Chapter 2 came and her real face showed up during the Class Trial, what a horrible human being of a character.-Kokichi : Really good writing for this character, doesn't change the fact that he was annoying as hell.
59|Originally posted by Tharne:Top 3 Favorites :-Gonta : Tragic culprit, the only death that really moved me.-Ryoma : Cool guy.-K1-B0 : It's a mech.Top 3 Least Favorites :-Angie : Her little cult was starting to annoy me since Himiko got on board. During Chapter 3, I was really starting to lose interest in the game because of this ????ing Atua and hoped that she wasn't going to reach Chapter 4, my prayer was heard.-Kirumi : Loved her during Chapter 1...Then Chapter 2 came and her real face showed up during the Class Trial, what a horrible human being of a character.-Kokichi : Really good writing for this character, doesn't change the fact that he was annoying as hell.
60|Originally posted by Tharne:Top 3 Favorites :-Gonta : Tragic culprit, the only death that really moved me.-Ryoma : Cool guy.-K1-B0 : It's a mech.Top 3 Least Favorites :-Angie : Her little cult was starting to annoy me since Himiko got on board. During Chapter 3, I was really starting to lose interest in the game because of this ????ing Atua and hoped that she wasn't going to reach Chapter 4, my prayer was heard.-Kirumi : Loved her during Chapter 1...Then Chapter 2 came and her real face showed up during the Class Trial, what a horrible human being of a character.-Kokichi : Really good writing for this character, doesn't change the fact that he was annoying as hell.
61|Originally posted by Battler Ushiromiya:Originally posted by Tharne:Top 3 Favorites :-Gonta : Tragic culprit, the only death that really moved me.-Ryoma : Cool guy.-K1-B0 : It's a mech.Top 3 Least Favorites :-Angie : Her little cult was starting to annoy me since Himiko got on board. During Chapter 3, I was really starting to lose interest in the game because of this ????ing Atua and hoped that she wasn't going to reach Chapter 4, my prayer was heard.-Kirumi : Loved her during Chapter 1...Then Chapter 2 came and her real face showed up during the Class Trial, what a horrible human being of a character.-Kokichi : Really good writing for this character, doesn't change the fact that he was annoying as hell. How the hell was Kirumi a bad person?
62|Well I kinda disliked Kirumi a bit after her reveal too, but its just mostly because how her character is completely over the top. Nobody is irreplaceable, and those who claim/think they are lose points in my eyes. The closer a character is to a Mary Sue, the worse it gets.
63|Originally posted by Nox Eterna:Well I kinda disliked Kirumi a bit after her reveal too, but its just mostly because how her character is completely over the top. Nobody is irreplaceable, and those who claim/think they are lose points in my eyes. The closer a character is to a Mary Sue, the worse it gets.
64|So? doesn't change over-the-top nature of the character in question
65|Miu Iruma is probably one of my favorites as well. I think she's hilarious and I really like it when she's just... being herself. I love the way she interacts with the others and even though she's rude and selfish at times, I still can't help but like the way she is.I also really like Kirumi Tojo she's loyal as hell and almost more robotic than Keebo (another favorite) but I don't like how she ended up in the game in the end....In the end I like almost every character (except Kokichi... who, so far, has done nothing but be a pain in my 'behinds' (because Steam likes to censor curse words XD)).
66|Originally posted by Battler Ushiromiya:Originally posted by WizoDard:After reading this entire thread discussion, I am very surprised that a lot of people actually liked Iruma. I would have to say, she was very funny every time she came on screen, but when Ouma started being mean to her I was not happy. He knew that was her vulnerable side and utilized it  mostly in Chapter 4  and it was not funny to me...How does what Ouma did make you like Miu less? That makes no sense.
67|Originally posted by Tharne:Top 3 Favorites :-Gonta : Tragic culprit, the only death that really moved me.-Ryoma : Cool guy.-K1-B0 : It's a mech.Top 3 Least Favorites :-Angie : Her little cult was starting to annoy me since Himiko got on board. During Chapter 3, I was really starting to lose interest in the game because of this ????ing Atua and hoped that she wasn't going to reach Chapter 4, my prayer was heard.-Kirumi : Loved her during Chapter 1...Then Chapter 2 came and her real face showed up during the Class Trial, what a horrible human being of a character.-Kokichi : Really good writing for this character, doesn't change the fact that he was annoying as hell.
68|I liked Kirumi less after Case Two as well; specifically when she tried to manipulate the others to take her place for her in the execution. The way she valued her life over the others rubbed me the wrong way and yes I understand her motive but it doesn't change the fact she was okay with letting the others die over herself. I don't hate her or anything and give her props for doing whatever she could to survive but didn't like how she so quickly gave into the game rather than trying to help her friends. Plus you gotta admit her voting for Shuichi in the end was kinda petty.As for my favorites my top five would be Maki (really liked her character arc), Keebo (one of most helpful ones during the trials and I personally loved his facial expressions),  Shuichi (I know it's up to debate his placement among protags in the series but I found his arc really compelling and think he's one of the best protags of the series), Kaito(yeah his positivity could be really irritating from time to time but he really was the Ultimate Bro and helped keep the group out of despair most the time after Kaedewas gone), and Rantaro (  the way he plays into the plot is really interesting to me and I always had a feeling he was a good guy...his FTE's were great too sucks he had to die first :(  . Will admit this was a pretty strong cast and it was hard to narrow my favorites to just 5 :D
69|Originally posted by WizoDard: you should probably spoiler block more stuff in that post
70|Originally posted by t_town20:Originally posted by WizoDard: you should probably spoiler block more stuff in that post  ah sorry edited my comment to block more; thanks for the heads up. Anyways the only character I actually hated was Angie since there was nothing really redemable about her to me. Kirumi isn't my favorite for the reasons I stated before but  I give her props for actually fighting back to the bitter end. I may have not liked it but can respect she didn't give in like most culprits do in the end .
71|Originally posted by t_town20:Originally posted by WizoDard: you should probably spoiler block more stuff in that post  ah sorry edited my comment to block more; thanks for the heads up. Anyways the only character I actually hated was Angie since there was nothing really redemable about her to me. Kirumi isn't my favorite for the reasons I stated before but  I give her props for actually fighting back to the bitter end. I may have not liked it but can respect she didn't give in like most culprits do in the end .
72|Originally posted by t_town20:I liked Kirumi less after Case Two as well; specifically when she tried to manipulate the others to take her place for her in the execution. The way she valued her life over the others rubbed me the wrong way and yes I understand her motive but it doesn't change the fact she was okay with letting the others die over herself. I don't hate her or anything and give her props for doing whatever she could to survive but didn't like how she so quickly gave into the game rather than trying to help her friends. Plus you gotta admit her voting for Shuichi in the end was kinda petty.As for my favorites my top five would be Maki (really liked her character arc), Keebo (one of most helpful ones during the trials and I personally loved his facial expressions),  Shuichi (I know it's up to debate his placement among protags in the series but I found his arc really compelling and think he's one of the best protags of the series), Kaito(yeah his positivity could be really irritating from time to time but he really was the Ultimate Bro and helped keep the group out of despair most the time after Kaedewas gone), and Rantaro (  the way he plays into the plot is really interesting to me and I always had a feeling he was a good guy...his FTE's were great too sucks he had to die first :(  . Will admit this was a pretty strong cast and it was hard to narrow my favorites to just 5 :D
73|Kaito
74|Originally posted by CloverChiaki96:Kaito was great though, I knew that he was going to die though when I played it, but I liked how he was always postive in the face of certain death.
75|Sorry I always forget that. I'll delete that comment.
76|Originally posted by Battler Ushiromiya:Originally posted by Tharne:Top 3 Favorites :-Gonta : Tragic culprit, the only death that really moved me.-Ryoma : Cool guy.-K1-B0 : It's a mech.Top 3 Least Favorites :-Angie : Her little cult was starting to annoy me since Himiko got on board. During Chapter 3, I was really starting to lose interest in the game because of this ????ing Atua and hoped that she wasn't going to reach Chapter 4, my prayer was heard.-Kirumi : Loved her during Chapter 1...Then Chapter 2 came and her real face showed up during the Class Trial, what a horrible human being of a character.-Kokichi : Really good writing for this character, doesn't change the fact that he was annoying as hell. How the hell was Kirumi a bad person?
77|Originally posted by CloverChiaki96:Originally posted by Battler Ushiromiya:How the hell was Kirumi a bad person? Kirumi was good. She always had good intentions.
78|Originally posted by WizoDard:Originally posted by CloverChiaki96:Kirumi was good. She always had good intentions.  Until she saw her motive video. Then she turned bad because she brutally drowned Ryouma, tried so hard to defend herself in the trial, and even after the trial wanted the others to sacrifice their life for her. But Ouma caught what she was trying to do and pointed it out. She even ran away from her execution to escape to her nation in the outside world. In fact, her entire execution was based off of her will to escape, that's why it was the most brutal in the series...She was definitely not a bad person, but willing to go to extreme lengths just to accomplish a goal.  I love Kirumi and Korekiyo. They're my favorite characters of V3. :D
79|Originally posted by Battler Ushiromiya:Originally posted by WizoDard: Until she saw her motive video. Then she turned bad because she brutally drowned Ryouma, tried so hard to defend herself in the trial, and even after the trial wanted the others to sacrifice their life for her. But Ouma caught what she was trying to do and pointed it out. She even ran away from her execution to escape to her nation in the outside world. In fact, her entire execution was based off of her will to escape, that's why it was the most brutal in the series...She was definitely not a bad person, but willing to go to extreme lengths just to accomplish a goal.  I love Kirumi and Korekiyo. They're my favorite characters of V3. :D However, that is not evil. She merely chose the needs of the many over the needs of the few. Admittedly, if Fate/Zero has taught me anything, it's that that ideal can be easily corrupted, but that does not change any good intentions. It's the same as why Gonta killed in chapter 4. He killed to protect everyone from the outside world.
80|Originally posted by WizoDard:Originally posted by Battler Ushiromiya:However, that is not evil. She merely chose the needs of the many over the needs of the few. Admittedly, if Fate/Zero has taught me anything, it's that that ideal can be easily corrupted, but that does not change any good intentions. It's the same as why Gonta killed in chapter 4. He killed to protect everyone from the outside world.  That was pretty evil. You can chalk it down as putting 16 people as not as valuable as the entire nation of Japan, but either way, she was willing to watch them all get executed for her own goal. She went out of her way just to frame Himiko during the trial, which inevitably made her get caught in the end. To me, that is not considered being good, that's pretty evil...
81|Originally posted by Dels Kibara:Originally posted by WizoDard: That was pretty evil. You can chalk it down as putting 16 people as not as valuable as the entire nation of Japan, but either way, she was willing to watch them all get executed for her own goal. She went out of her way just to frame Himiko during the trial, which inevitably made her get caught in the end. To me, that is not considered being good, that's pretty evil...  Ever heard of the Train Dilemma? Yeah. Kirumi had that. And she chose to kill the few for the benefit of the majority.
82|Originally posted by WizoDard:Originally posted by Dels Kibara:Ever heard of the Train Dilemma? Yeah. Kirumi had that. And she chose to kill the few for the benefit of the majority.  That is very true, and it defends my point of her acting evil after seeing the motive video too. If you were being good/kind then you wouldn't choose the option that benefits you and not the others.
83|Originally posted by Dels Kibara:Originally posted by WizoDard: That is very true, and it defends my point of her acting evil after seeing the motive video too. If you were being good/kind then you wouldn't choose the option that benefits you and not the others.  But that does not benefit Kirumi. She thinks it's for her nation, her people. She is the de facto leader of Japan. If something bad were to happen to Japan, that's her responsibility.
84|Originally posted by WizoDard:Originally posted by Battler Ushiromiya:However, that is not evil. She merely chose the needs of the many over the needs of the few. Admittedly, if Fate/Zero has taught me anything, it's that that ideal can be easily corrupted, but that does not change any good intentions. It's the same as why Gonta killed in chapter 4. He killed to protect everyone from the outside world.  That was pretty evil. You can chalk it down as putting 16 people as not as valuable as the entire nation of Japan, but either way, she was willing to watch them all get executed for her own goal. She went out of her way just to frame Himiko during the trial, which inevitably made her get caught in the end. To me, that is not considered being good, that's pretty evil...
85|Originally posted by NgzeroNigel:Originally posted by Dels Kibara:But that does not benefit Kirumi. She thinks it's for her nation, her people. She is the de facto leader of Japan. If something bad were to happen to Japan, that's her responsibility. I'll put my two cents in. I don't consider Kirumi evil, more that she hold more desire than anyone else. She trying to go back and care for the country that she taken care of for what assume 1-2 years with people she doesn't want dead. But while she did perform murder in her position think of it like this. Every second she waist someone in her country could be dying. Which would be that she failed another task.
86|DR2  : Fuyuhiko Kuzuryu and Gundham TanakaDRV3: Ryoma Hoshi and Kaito Momota
87|Originally posted by Kura:DR2  : Fuyuhiko Kuzuryu and Gundham TanakaDRV3: Ryoma Hoshi and Kaito Momota
88|I could understand Kaito being memoriable, but Ryoma didn't really stick with me.
89|Originally posted by CloverChiaki96:I could understand Kaito being memoriable, but Ryoma didn't really stick with me.
90|Kokichi I like because he's basically  Snape  in the way he goes in the game.My favourite has to go to Kaito simply because there's nothing there to not like.
91|Originally posted by Capt. Pottypie:Kokichi I like because he's basically  Snape  in the way he goes in the game.My favourite has to go to Kaito simply because there's nothing there to not like.
92|best: maki, kaito, shuichi, kaede, himiko, kokichi, gonta, kiibo, rantaroin the middle: kirumi, angie, miu, korekiyo, tenko eh: ryoma, tsumugii thought tsumugi was boring throughout the game, it seems as though she has no personality to her at all but this is just my personal opinion. at the end, yeah she changed it up a bit but that really doesn't feel like a real legit personality that makes her stand out besides being revealed as the mastermind.some things i wanted to say about maki... maki, i didn't like her at first because she seemed so stand offish but those who played the game, we know why that was. during kokichi and kaito's trial, she ended up frustrating me again and it just seemed like her stubbornness was just getting in the way despite her being hurt by the situation at hand. i would have placed her in the middle for these reasons alone but maki was probably one of the most human characters to me as well as some others.something about rantaro made me love him a lot more, maybe it's the fact that he told us that he had many cousins and felt guilty for losing his sister during his travels with his family. he has that big brother vibe to him which i found really nice.while miu is a good written character, she makes me the most uncomfortable, that's all. korekiyo... he's one of the most passionate about his ultimate talent which makes him interesting despite me placing him in the middle, he creeps me out just as much as miu does to me. if kokichi hadn't done what he did to gonta in chapter 4 then i would have liked him a bit more but he was still an amazing character, his role did remind me of nagito's role just a little from the second game. i've gotten over the whole kokichi and kaito deal though i was sad at first! kokichi doesn't like killing especially doesn't like doing it himself but making others do it which doesn't make it better but what can you do? he was incredibly intelligent but also cute at the same time... if you gained all his friendship fragments then you'd know what i'm talking about.tenko was just not my cup of tea but she's a strong female character who doesn't care about men which i can appreciate definitely. angie was gorgeous with an incredible design but she was just annoying as a character aside from her one liners that i found rather funny during trials and occasionally throughout the story, she seemed very peppy!
93|From a design perspective Rantaro but as an actual character Kokichi. Rantaro would have been my pick if he didn't get offed so early as I like his design and from little snippets we get from his character he seemed really interesting. I know his story get's expanded more in the bonus mode but I feel he's still lacking a bit as we never truly see him in a stressful situation like the trials or some of the later motives, and what that would do to him as a person .Kokichi's just an immensely fun character to watch and it's always interesting to see what he's got planned next. His character did lose some points to me when he offed Gonta in chapter 4 but chapter 5 kinda made up with most of that with his plan to attempt to stop the killing game giving him more depth than he had previously when up to that point he seemed like he was just being a??????for the hell of itRunner ups are Maki and Shuichi as they are easily the characters who go through the most development by the games end which makes them more endearing to me then some of the other cast (excluding Himiko).
94|From a most interesting/would like to see an entire game with them as main characters, favorite girl would be Kaeda and favorite boy would be Rantaro.As far as just my favorites, favorite girl would probably be Kirumi and favorite boy would probably be Keebo
95|Originally posted by Genodice:From a most interesting/would like to see an entire game with them as main characters, favorite girl would be Kaeda and favorite boy would be Rantaro.As far as just my favorites, favorite girl would probably be Kirumi and favorite boy would probably be Keebo
96|Originally posted by NgzeroNigel:Originally posted by Genodice:From a most interesting/would like to see an entire game with them as main characters, favorite girl would be Kaeda and favorite boy would be Rantaro.As far as just my favorites, favorite girl would probably be Kirumi and favorite boy would probably be Keebo But how do you know if Keebo a boy, isn't he a robot.
97|Originally posted by Genodice:Originally posted by NgzeroNigel:But how do you know if Keebo a boy, isn't he a robot. Oh yeah, totally fair point. I guess I keep just coming back to that assumption because other's often refered to with he/him pronouns with Keebo and they're found on the boys side in the dorm/handbook. Well Keebo is by far my favorite robot, and I guess next to him, Ryoma is my favorite boy(?) To be honest, I liked all the boys in this game, but none of them really intrest me that much other than Rantaro and Keebo is just so good and perfect so obviously I love them. Ryoma's cool though, very interesting and not at all who I thought he would be.
98|Originally posted by Dikami:Without further thinking, Kokichi Ouma.Although I know why people usually tend to hate this kind of character (much like Nagito), I can't help but liking him by the way I see his manipulative and twisted character. He is probably one of, if not the most complex characters in the game.Class trial won't be that interesting without this anti-villain.Probably one of the reasons class trial 6 is my least favorite
99|IMO Tsumugi is the best character in the series.
100|Originally posted by desienaalessandro23:IMO Tsumugi is the best character in the series.
101|Kokichi, Fyi i also love nagito, I am a strange person.
102|Originally posted by Mr Owl:Kokichi, Fyi i also love nagito, I am a strange person.
103|Rantaro, I mean have you looked at him? He is beautiful. I really loved his FTEs and  Talent Plan Events . I would have loved to see  what exactly happened in the last killing game where he survived and how his Ultimate Lab (if there were any) would have lokked like when he was the Ultimate Adventurer. Pity we never saw how he behaves in a class trail. Probably would be the only sane man next to Shuichi, without having a 'trust boner like Kaito' (Nothing against him, I love him actually, right after Kokichi, but I don't agree with his blindly trusting nature and he was being slightly annoying during his speeches sometimes.)  Kokichi is a very close second, that sassy little??????  Can't be favorite 'cause being partly responsible for making Gonta kill is not cool. (I understand why, but I doesn't change the fact that Gonta didn't deserve to be manipulated like that) And he has the best  Ultimate Lab. BAT CAVE XD. Although I don't get how Kokichi can be the Ultimate Supreme leader with an organisation with only 10 members who mainly do harmless pranks and petty crimes, but maybe I misunderstoond something, can somebody clarify that for me please? I still don't quite get it.
104|Kokichi. Somewhat similar to Nagito. The only one who really understood what was going on and tried to stop it properly.
105|Originally posted by SeaCatAnna:Rantaro, I mean have you looked at him? He is beautiful. I really loved his FTEs and  Talent Plan Events . I would have loved to see  what exactly happened in the last killing game where he survived and how his Ultimate Lab (if there were any) would have lokked like when he was the Ultimate Adventurer. Pity we never saw how he behaves in a class trail. Probably would be the only sane man next to Shuichi, without having a 'trust boner like Kaito' (Nothing against him, I love him actually, right after Kokichi, but I don't agree with his blindly trusting nature and he was being slightly annoying during his speeches sometimes.)  Kokichi is a very close second, that sassy little??????  Can't be favorite 'cause being partly responsible for making Gonta kill is not cool. (I understand why, but I doesn't change the fact that Gonta didn't deserve to be manipulated like that) And he has the best  Ultimate Lab. BAT CAVE XD. Although I don't get how Kokichi can be the Ultimate Supreme leader with an organisation with only 10 members who maily do harmless pranks and petty crimes, but maybe I misunderstoond something, can somebody clarify that for me please? I still don't quite get it.
106|I enjoyed reading all of these posts after mine at the top of page 7, especially Mrawesomez and xlightthefuse's posts. At this point I'm pretty sure everyone knows who I like and don't care for, just in case:1 - Kirumi and Korekiyo2 - Ryouma and Maki3 - Rantarou4 - Kaede5 - Himiko
107|"Originally posted by WizoDard: I believe the reason Ouma was the Ultimate Supreme Leader is because he was good at leading people and pushing them in certain directions. It doesn't really matter the group of people, 5, 10, 100, 1000, he was still a good, "" leader "". Although it's debatable whether or not he was a dictator..."
